Phrase,No. of Emails,Fitness
more,2547,45.846
"more,internationa",2858,45.728004
"more,software",2783,44.528004
"more,internationa,size",3024,42.336002
"business,address",2592,41.472
"more,internationa,size,bank",3351,40.212
"business,link",2420,38.72
"more,las,client,pain",3211,38.532
"business,address,world,versions",3177,38.124
"more,internationa,securities,div",3144,37.728
"more,software,run,break",3077,36.924
"price,late,professional,internet",3057,36.684002
"email,full",2284,36.544003
"business,soft,max",2595,36.33
"business,soft,max,bar",2928,35.136
"order,investment,full,over",2887,34.644
"business,address,perfect,database",2862,34.344
"over,cheap,best",2424,33.935997
"email,extra",2101,33.616
"online,full,fun,late",2736,32.832
"email,failure,doll,break",2734,32.808
email,1791,32.238
"price,less,international",2274,31.835999
"over,power",1983,31.728
"price,less",1958,31.328001
price,1730,31.14
"online,full,fun",2224,31.135998
"fun,always,professional,remove",2593,31.116001
"price,without,plans",2212,30.968
"address,doll,strong",2194,30.715998
"order,investment,full",2189,30.645998
"email,failure",1914,30.624
"late,professional,internet",2187,30.618
"over,cheap",1892,30.272
"address,event,prom,hour",2522,30.264002
"money,program,event",2161,30.254
business,1662,29.915998
over,1659,29.862
"website,last,best,sex",2476,29.712002
"over,power,spam,weight,soft",2959,29.59
"over,power,link,hours,communication",2947,29.47
"within,medic,best,sex",2423,29.076
"within,medic,best,sex,prices",2867,28.67
"late,professional,details",2047,28.658
"over,power,spam,weight",2383,28.596
"address,event",1778,28.448
"remove,looking,prom,products",2361,28.332003
"order,investment",1766,28.256
"money,suite",1761,28.176
"late,professional",1725,27.6
"money,statements",1701,27.216002
"money,suite,image,rest",2256,27.072002
"million,reader,website",1929,27.005999
"money,statements,office,computron",2238,26.856
"fun,always,professional",1887,26.418001
money,1465,26.37
"remove,major,las,late,perfect",2625,26.25
"email,extra,prices,internet,limited,font",3281,26.248001
"order,investment,security,fast,body",2617,26.17
"remove,major,las",1846,25.844
"world,versions,professional",1829,25.605999
"order,hour",1594,25.504002
"prices,internet,auto,face,results",2548,25.48
"online,full",1592,25.472
"order,hour,details,statement,within",2547,25.47
"best,phone,las",1810,25.34
"interested,computer,project",1803,25.241999
"doll,break,software,instant",2096,25.152002
"stock,save,bank",1789,25.045998
"price,less,investment,adobe,meds",2504,25.04
"remove,looking",1559,24.944002
"prices,wind,content,security,fast",2488,24.88
address,1352,24.335999
"order,private,run",1729,24.206
"within,last,spam",1726,24.164
"remove,major,world,health,awesome",2416,24.16
"details,statement,fun",1719,24.065998
"transfer,wait,interested,soft,max",2403,24.03
"million,watch",1491,23.856
"money,suite,choose,desire",1987,23.844002
"prices,internet",1484,23.744001
"within,medic",1464,23.424002
"prices,internet,limited,font",1952,23.424002
"online,full,watch,size,bell",2338,23.38
"within,medic,multi,music",1934,23.208
"website,last",1450,23.2
"stock,save,increase",1648,23.071999
"online,transfer,wait",1648,23.071999
"online,increase",1424,22.784002
"office,hour",1420,22.72
"soft,red,core,results",1893,22.716002
"link,medic",1413,22.608
"link,medic,increase,draw,personal,law",2810,22.48
"stock,save,bank,products,titles",2237,22.37
"website,last,website,fun,always",2235,22.35
"interested,computer,increase,draw",1862,22.344002
"doll,products,titles,none",1861,22.332003
"anti,bar,office,computron,details",2218,22.18
"world,limited,font",1582,22.148
"details,statement,within",1577,22.078001
"doll,strong",1373,21.968
"program,event,stock",1568,21.952
"prom,hour,engine,girl",1826,21.912003
"link,hours,personal,law",1824,21.888
"million,reader,content",1563,21.882
"email,failure,doll,break,email,failure",2734,21.872
"link,hours,communication",1560,21.84
"bank,international,wind,content",1815,21.78
"project,internet",1359,21.744001
"doll,break",1345,21.52
"project,quit,private,program",1785,21.42
"remove,major",1334,21.344002
"security,fast,body",1524,21.335999
"bank,international,wind",1524,21.335999
"million,technology",1333,21.328001
"price,less,international,price,without,plans",2663,21.304
"late,perfect",1330,21.28
"prom,hour",1329,21.264002
"prices,wind,content",1518,21.251999
"office,health,fat,pill",1760,21.12
"prom,products",1318,21.088001
"power,fast,anti,shareholder",1750,21
"software,watch,color",1498,20.972
"best,sex",1310,20.96
"world,health,awesome",1495,20.93
"phone,communication,statement,interested",1730,20.76
"anti,bar",1297,20.751999
"transfer,wait,interested",1480,20.72
"interested,computer,project,million,reader,content",2577,20.616001
"without,drug,medic",1468,20.552
"increase,draw,personal,law",1707,20.484001
"office,health",1280,20.48
"auto,face,results",1459,20.426
"best,phone",1273,20.368
"bank,international,wind,security,transfer",2036,20.36
"website,last,website",1450,20.3
"investment,security",1267,20.272001
"bar,lose,multi",1444,20.216
"program,der,entertainment,last",1683,20.196001
"million,reader",1260,20.16
"link,hours",1260,20.16
"stock,save",1256,20.096
"soft,red,core",1432,20.047998
order,1110,19.98
"online,increase,perfect,database,prescription",1993,19.93
"bar,lose,multi,without,plans",1991,19.91
"security,fast",1240,19.84
"office,computron,details",1401,19.614
"fat,pill,red,anti",1634,19.608
"world,versions",1214,19.424
doll,1079,19.421999
"program,event",1211,19.376
"die,strong,looking",1379,19.306
"private,run,image,rest,auto",1916,19.16
world,1064,19.152
"bank,international",1192,19.072
"fun,always",1190,19.04
"soft,max",1189,19.024
"las,client,pain",1353,18.942
