Phrase,No. of Emails,Fitness
more,2547,45.846
email,1791,32.238
price,1730,31.14
business,1662,29.915998
over,1659,29.862
money,1465,26.37
address,1352,24.335999
order,1110,19.98
doll,1079,19.421999
world,1064,19.152
million,1020,18.36
soft,1012,18.216
website,991,17.838
late,988,17.783998
within,973,17.514
remove,959,17.262
fun,939,16.902
online,931,16.758
link,913,16.433998
best,910,16.38
professional,904,16.272
office,882,15.875999
prices,873,15.713999
investment,835,15.03
full,819,14.742
program,817,14.705999
without,802,14.436
anti,802,14.4
prom,788,14.183999
bank,785,14.13
project,782,14.076
software,768,13.823999
las,747,13.446
stock,745,13.41
auto,735,13.23
interested,720,12.96
security,717,12.906
products,714,12.851999
increase,703,12.654
internet,692,12.455999
looking,690,12.42
details,677,12.186
bar,666,11.987999
results,652,11.736
hour,629,11.322
power,620,11.16
watch,608,10.944
last,603,10.854
internationa,596,10.728
medic,579,10.422
multi,578,10.404
fast,574,10.332
international,564,10.151999
limited,556,10.007999
save,555,9.99
transfer,530,9.54
hours,528,9.504
personal,506,9.108
country,505,9.09
sex,505,9.09
statement,501,9.018
event,494,8.891999
private,487,8.766
air,485,8.73
red,478,8.604
securities,475,8.55
computer,474,8.532
health,468,8.424
die,466,8.388
statements,465,8.37
technology,460,8.28
major,451,8.118
size,442,7.956
extra,441,7.9379997
phone,441,7.9379997
less,429,7.7219996
perfect,425,7.65
strong,421,7.578
div,414,7.4519997
spam,411,7.398
pain,408,7.344
wind,405,7.29
draw,396,7.128
image,395,7.11
suite,394,7.0919995
content,389,7.0019994
affiliate,381,6.858
lose,375,6.75
engine,370,6.66
always,366,6.588
communication,364,6.552
max,363,6.5339994
law,358,6.444
run,358,6.444
fat,350,6.3
wait,346,6.2279997
break,343,6.174
reader,335,6.03
cheap,327,5.8859997
pill,327,5.8859997
body,326,5.868
loss,326,5.868
rest,318,5.7239995
plans,315,5.67
none,313,5.634
window,313,5.634
viagra,309,5.5620003
prescription,307,5.5259995
drug,301,5.4179997
client,298,5.364
highly,288,5.1839995
sun,278,5.0039997
windows,278,5.0039997
accuracy,276,4.968
adobe,271,4.878
core,267,4.8059998
choose,259,4.6619997
oil,258,4.644
minutes,254,4.572
media,248,4.4639997
download,247,4.4459996
instant,246,4.428
der,244,4.3919997
fire,242,4.356
half,241,4.338
outstanding,241,4.338
girl,238,4.284
database,236,4.2479997
rates,230,4.14
drugs,226,4.068
microsoft,225,4.05
growing,224,4.0319996
american,221,3.978
significant,221,3.978
board,219,3.942
ceo,218,3.924
god,218,3.924
land,218,3.924
pills,217,3.9059997
weight,217,3.9059997
cart,216,3.8879998
claims,216,3.8879998
shareholder,214,3.8519998
color,212,3.8159997
seen,210,3.78
entertainment,208,3.744
exclusive,208,3.744
acquisition,205,3.69
face,205,3.69
gold,201,3.6179998
cast,191,3.438
host,187,3.3660002
hundreds,187,3.3660002
category,186,3.3479998
meds,184,3.3119998
burn,179,3.222
computron,179,3.222
titles,175,3.15
alternative,174,3.1319997
equity,173,3.1139998
digital,171,3.0779998
easily,171,3.0779998
prize,169,3.0419998
blue,168,3.024
cialis,168,3.024
failure,168,3.024
multiple,168,3.024
competitive,166,2.988
versions,166,2.988
bell,163,2.934
lottery,163,2.934
music,163,2.934
paliourg,162,2.9160001
male,159,2.8619998
twenty,157,2.826
communications,154,2.7719998
batch,153,2.754
font,151,2.718
desire,147,2.6460001
awesome,143,2.574
mortgage,141,2.5379999
madam,139,2.5019999
href,136,2.448
mine,133,2.394
sand,133,2.394
exercise,131,2.3579998
quit,131,2.3579998
mailman,130,2.34
chair,128,2.304
attack,123,2.214
fixed,122,2.1959999
variety,121,2.178
passe,119,2.142
tag,118,2.1239998
european,115,2.07
sincerely,115,2.07
bias,114,2.052
expensive,114,2.052
fear,114,2.052
