Phrase,No. of Emails,Fitness
more,2547,45.846
"more,internationa",2858,45.728004
"more,software",2783,44.528004
"more,internationa,size",3024,42.336002
"business,address",2592,41.472
"business,address,world,versions",3177,38.124
"business,soft,max",2595,36.33
"email,extra",2101,33.616
"email,failure,doll,break",2734,32.808
email,1791,32.238
"price,less,international",2274,31.835999
"over,power",1983,31.728
"price,less",1958,31.328001
price,1730,31.14
"online,full,fun",2224,31.135998
"price,without,plans",2212,30.968
"order,investment,full",2189,30.645998
"email,failure",1914,30.624
"late,professional,internet",2187,30.618
"over,cheap",1892,30.272
business,1662,29.915998
over,1659,29.862
"within,medic,best,sex",2423,29.076
"over,power,spam,weight",2383,28.596
"address,event",1778,28.448
"order,investment",1766,28.256
"money,suite",1761,28.176
"late,professional",1725,27.6
"money,statements",1701,27.216002
"fun,always,professional",1887,26.418001
money,1465,26.37
"remove,major,las",1846,25.844
"order,hour",1594,25.504002
"online,full",1592,25.472
"interested,computer,project",1803,25.241999
"stock,save,bank",1789,25.045998
"remove,looking",1559,24.944002
address,1352,24.335999
"money,suite,choose,desire",1987,23.844002
"prices,internet",1484,23.744001
"within,medic",1464,23.424002
"prices,internet,limited,font",1952,23.424002
"website,last",1450,23.2
"online,increase",1424,22.784002
"link,medic",1413,22.608
"details,statement,within",1577,22.078001
"doll,strong",1373,21.968
"program,event,stock",1568,21.952
"prom,hour,engine,girl",1826,21.912003
"million,reader,content",1563,21.882
"link,hours,communication",1560,21.84
"doll,break",1345,21.52
"remove,major",1334,21.344002
"security,fast,body",1524,21.335999
"bank,international,wind",1524,21.335999
"million,technology",1333,21.328001
"late,perfect",1330,21.28
"prom,hour",1329,21.264002
"prices,wind,content",1518,21.251999
"prom,products",1318,21.088001
"best,sex",1310,20.96
"world,health,awesome",1495,20.93
"anti,bar",1297,20.751999
"transfer,wait,interested",1480,20.72
"increase,draw,personal,law",1707,20.484001
"office,health",1280,20.48
"auto,face,results",1459,20.426
"best,phone",1273,20.368
"website,last,website",1450,20.3
"bar,lose,multi",1444,20.216
"million,reader",1260,20.16
"link,hours",1260,20.16
"stock,save",1256,20.096
"soft,red,core",1432,20.047998
order,1110,19.98
"security,fast",1240,19.84
"office,computron,details",1401,19.614
"world,versions",1214,19.424
doll,1079,19.421999
"program,event",1211,19.376
world,1064,19.152
"bank,international",1192,19.072
"fun,always",1190,19.04
"soft,max",1189,19.024
"las,client,pain",1353,18.942
"interested,computer",1156,18.496
million,1020,18.36
soft,1012,18.216
"investment,adobe,meds",1289,18.046
"security,transfer",1119,17.904
website,991,17.838
late,988,17.783998
"power,fast",1105,17.68
"details,statement",1099,17.584
"die,strong,results,affiliate",1462,17.544
within,973,17.514
remove,959,17.262
"increase,draw",1077,17.232
"without,drug",1063,17.008001
"private,run,image,rest",1415,16.980001
"program,der,entertainment",1212,16.967999
fun,939,16.902
"auto,div",1055,16.88
online,931,16.758
"project,quit,private",1189,16.646
link,913,16.433998
best,910,16.38
professional,904,16.272
"office,computron",1013,16.208
"bar,lose",997,15.952001
"looking,body",996,15.936
office,882,15.875999
"last,spam",986,15.776
prices,873,15.713999
"phone,communication,statement",1121,15.694
"las,client",977,15.632001
"without,plans",970,15.52
"watch,size,bell",1108,15.511999
"looking,body,gold,male",1279,15.348001
"securities,div,pain,oil",1265,15.18
investment,835,15.03
"software,instant,suite",1064,14.896
"software,instant",925,14.8
full,819,14.742
program,817,14.705999
"auto,face",919,14.704
"fat,pill,red",1033,14.462
"products,titles,none",1032,14.447999
without,802,14.436
anti,800,14.4
"country,less",898,14.368
"internationa,windows,fire",1018,14.252
"project,quit",889,14.224
"country,communications,computer",1016,14.224
prom,788,14.183999
"anti,shareholder,minutes,sincerely",1181,14.172001
bank,785,14.13
project,782,14.076
"watch,color,reader",995,13.93
"products,titles",867,13.872001
"sex,sun,download",988,13.832
software,768,13.823999
"multi,music,draw",986,13.804
"die,strong",861,13.776
"statements,technology,window",980,13.72
"anti,shareholder",855,13.68
"transfer,wait",842,13.472001
las,747,13.446
stock,745,13.41
"results,affiliate",836,13.375999
"save,client",835,13.36
auto,735,13.23
"perfect,database,prescription",939,13.146
interested,720,12.96
"private,run",807,12.912001
security,717,12.906
products,714,12.851999
"watch,color",803,12.848001
increase,703,12.654
"limited,media,land",900,12.6
"hours,drugs,cart",897,12.558
"securities,div",780,12.48
internet,692,12.455999
looking,690,12.42
"personal,law",769,12.304
"personal,law",769,12.304
"loss,none,viagra",874,12.236
"cheap,window,pill",872,12.207999
details,677,12.186
"wind,content",761,12.176
bar,666,11.987999
"image,always",749,11.984
"air,burn,prescription,blue",996,11.952001
"securities,major",738,11.808001
"air,highly",734,11.744
results,652,11.736
"extra,accuracy,growing,ceo",968,11.616001
"lose,engine",719,11.504001
"phone,communication",718,11.488001
"multi,music",714,11.424
"die,rest",713,11.408001
hour,629,11.322
"limited,font",704,11.264
"image,rest",704,11.264
"red,core",702,11.232
"viagra,microsoft,highly,href",931,11.172001
power,620,11.16
"statements,technology",692,11.0720005
watch,608,10.944
last,603,10.854
"max,loss",678,10.848001
"extra,accuracy",674,10.784
internationa,596,10.728
"run,break",666,10.656
"fat,pill",654,10.464001
"pain,oil",652,10.432001
medic,579,10.422
"perfect,database",651,10.415999
multi,578,10.404
fast,574,10.332
