Phrase,No. of Emails,Fitness
more,2547,45.846
"more,internationa",2858,45.728004
"business,address",2592,41.472
email,1791,32.238
"over,power",1983,31.728
"price,less",1958,31.328001
price,1730,31.14
"email,failure",1914,30.624
business,1662,29.915998
over,1659,29.862
"order,investment",1766,28.256
"money,suite",1761,28.176
"late,professional",1725,27.6
money,1465,26.37
"online,full",1592,25.472
address,1352,24.335999
"prices,internet",1484,23.744001
"within,medic",1464,23.424002
"website,last",1450,23.2
"doll,break",1345,21.52
"remove,major",1334,21.344002
"prom,hour",1329,21.264002
"best,sex",1310,20.96
"million,reader",1260,20.16
"link,hours",1260,20.16
"stock,save",1256,20.096
order,1110,19.98
"security,fast",1240,19.84
"world,versions",1214,19.424
doll,1079,19.421999
"program,event",1211,19.376
world,1064,19.152
"bank,international",1192,19.072
"fun,always",1190,19.04
"soft,max",1189,19.024
"interested,computer",1156,18.496
million,1020,18.36
soft,1012,18.216
website,991,17.838
late,988,17.783998
"details,statement",1099,17.584
within,973,17.514
remove,959,17.262
"increase,draw",1077,17.232
fun,939,16.902
online,931,16.758
link,913,16.433998
best,910,16.38
professional,904,16.272
"office,computron",1013,16.208
"bar,lose",997,15.952001
"looking,body",996,15.936
office,882,15.875999
prices,873,15.713999
"las,client",977,15.632001
"without,plans",970,15.52
investment,835,15.03
"software,instant",925,14.8
full,819,14.742
program,817,14.705999
"auto,face",919,14.704
without,802,14.436
anti,800,14.4
"project,quit",889,14.224
prom,788,14.183999
bank,785,14.13
project,782,14.076
"products,titles",867,13.872001
software,768,13.823999
"die,strong",861,13.776
"anti,shareholder",855,13.68
"transfer,wait",842,13.472001
las,747,13.446
stock,745,13.41
"results,affiliate",836,13.375999
auto,735,13.23
interested,720,12.96
"private,run",807,12.912001
security,717,12.906
products,714,12.851999
"watch,color",803,12.848001
increase,703,12.654
"securities,div",780,12.48
internet,692,12.455999
looking,690,12.42
"personal,law",769,12.304
details,677,12.186
"wind,content",761,12.176
bar,666,11.987999
results,652,11.736
"phone,communication",718,11.488001
"multi,music",714,11.424
hour,629,11.322
"limited,font",704,11.264
"image,rest",704,11.264
"red,core",702,11.232
power,620,11.16
"statements,technology",692,11.0720005
watch,608,10.944
last,603,10.854
"extra,accuracy",674,10.784
internationa,596,10.728
"fat,pill",654,10.464001
"pain,oil",652,10.432001
medic,579,10.422
"perfect,database",651,10.415999
multi,578,10.404
fast,574,10.332
"air,burn",641,10.256
"country,communications",636,10.176001
international,564,10.151999
limited,556,10.007999
save,555,9.99
"loss,none",616,9.856
"cheap,window",611,9.776
"engine,girl",604,9.6640005
"spam,weight",602,9.632
transfer,530,9.54
hours,528,9.504
"health,awesome",593,9.488
"size,bell",588,9.408
personal,506,9.108
country,505,9.09
sex,505,9.09
statement,501,9.018
event,494,8.891999
private,487,8.766
air,485,8.73
red,478,8.604
securities,475,8.55
"viagra,microsoft",534,8.544001
computer,474,8.532
health,468,8.424
die,466,8.388
statements,465,8.37
technology,460,8.28
"sun,download",515,8.24
major,451,8.118
size,442,7.956
extra,441,7.9379997
phone,441,7.9379997
"drug,acquisition",492,7.872
less,429,7.7219996
"windows,fire",479,7.664
perfect,425,7.65
strong,421,7.578
div,414,7.4519997
"prescription,blue",465,7.44
spam,411,7.398
pain,408,7.344
"media,land",456,7.2960005
wind,405,7.29
"adobe,meds",455,7.28
draw,396,7.128
image,395,7.11
suite,394,7.0919995
"der,entertainment",440,7.04
content,389,7.0019994
"drugs,cart",436,6.9760003
affiliate,381,6.858
lose,375,6.75
"highly,href",421,6.7360005
"american,significant",419,6.7040005
"claims,seen",417,6.672
engine,370,6.66
always,366,6.588
communication,364,6.552
max,363,6.5339994
"growing,ceo",404,6.464
law,358,6.444
run,358,6.444
fat,350,6.3
wait,346,6.2279997
"choose,desire",389,6.2240005
"pills,easily",388,6.2079997
break,343,6.174
reader,335,6.03
"god,host",372,5.952
"exclusive,digital",368,5.888
cheap,327,5.8859997
pill,327,5.8859997
"minutes,sincerely",367,5.872
body,326,5.868
loss,326,5.868
"cast,alternative",364,5.8240004
"half,mine",363,5.808
rest,318,5.7239995
"outstanding,passe",357,5.712
"board,equity",357,5.712
plans,315,5.67
"gold,male",354,5.664
none,313,5.634
window,313,5.634
viagra,309,5.5620003
prescription,307,5.5259995
"hundreds,competitive",345,5.52
"rates,variety",342,5.472
drug,301,5.4179997
client,298,5.364
highly,288,5.1839995
